key	prez_2008	prez_2004	prez_2000	prez_1996	prez_1992	rank	circ	daily	sun	lat	lng	st	city	paper
Winnemucca Humbolt Sun				Clinton								NV	Winnemucca	Winnemucca Humbolt Sun
Springfield Union News				Clinton								MA	Springfield	Springfield Union News
Plain Dealer	Obama	none	Bush	Clinton								OH	Cleveland	Plain Dealer
Pasadena Star-News	Obama	Bush	Bush									CA	Pasadena	Pasadena Star-News
Delaware County Daily Times			Bush	Dole								PA	Primos	Delaware County Daily Times
Day of New London				Dole								CT	New London	Day of New London
Bangor Daily News	Obama	Kerry	Bush									ME	Bangor	Bangor Daily News
News Journal	Obama	Kerry	Gore									DE	Wilmington	News Journal
Gunnison Country Times	Obama	none										CO	Gunnison	Gunnison Country Times
Sun		Kerry	Gore									MD	Baltimore	Sun
Modesto Bee	Obama	Kerry	Gore	Clinton								CA	Modesto	Modesto Bee
Hartford Courant	Obama		Bush	Clinton								CT	Hartford	Hartford Courant
Wheeling News-Register	McCain	Bush										WV	Wheeling	Wheeling News-Register
Forum			Bush									ND	Fargo	Forum
Capital			Bush									MD	Annapolis	Capital
Birmingham News		Bush	Bush									AL	Birmingham	Birmingham News
Dallas Morning News	McCain	Bush	Bush	Dole								TX	Dallas	Dallas Morning News
Albuquerque Tribune			Bush	Dole								NM	Albuquerque	Albuquerque Tribune
Arkansas Times												AR	Little Rock	Arkansas Times
(Spokane) Spokesman-Review	McCain	Bush										WA	Spokane	(Spokane) Spokesman-Review
Edmond Evening Sun				Dole								OK	Edmond	Edmond Evening Sun
Wilkes-Barre Times Leader				Clinton								PA	Wilkes-Barre	Wilkes-Barre Times Leader
Advertiser			Bush									LA	Lafayette	Advertiser
Press Journal			Bush									FL	Vero Beach	Press Journal
Marshalltown Times-Republican	McCain			Dole								IA	Marshalltown	Marshalltown Times-Republican
Shreveport Times	Obama			Clinton								LA	Shreveport	Shreveport Times
Waynesboro News-Virginian	McCain											VA	Waynesboro	Waynesboro News-Virginian
Lansing State-Journal	Obama		Gore									MI	Lansing	Lansing State-Journal
Beloit Daily News				Dole								WI	Beloit	Beloit Daily News
Amarillo Daily News				Dole								TX	Amarillo	Amarillo Daily News
Yakima Herald-Republic	Obama	Bush										WA	Yakima	Yakima Herald-Republic
Centre Daily Times			Gore									PA	State College	Centre Daily Times
Finger Lakes Times				Dole								NY	Finger Lakes	Finger Lakes Times
San Mateo Daily Journal	Obama											CA	San Mateo	San Mateo Daily Journal
Seattle Times	Obama	Kerry	Bush	Clinton								WA	Seattle	Seattle Times
Gadsden Times			Bush	Dole								AL	Gadsden	Gadsden Times
Bergen Record	Obama											NJ	Bergen	Bergen Record
Investor's Business Daily												CA	Los Angeles	Investor's Business Daily
Virginia Gazette												VA	Williamsburg	Virginia Gazette
Albany Herald				Dole								GA	Albany	Albany Herald
Bristol Herald Courier	McCain											VA	Bristol	Bristol Herald Courier
Record		Kerry	Gore	Clinton								NJ	Hackensack	Record
Winter Haven News Chief				Dole								FL	Winter Haven	Winter Haven News Chief
Clarksdale Press-Register				Dole								MS	Clarksdale	Clarksdale Press-Register
Holdrege Daily Citizen				Dole								NE	Holdrege	Holdrege Daily Citizen
Press-Telegram			Gore									CA	Long Beach	Press-Telegram
Wichita Eagle			Bush	Dole								KS	Wichita Eagle	Wichita Eagle
Tennessean	Obama	Kerry	Gore	Clinton								TN	Nashville	Tennessean
Arkansas Democrat-Gazette		Bush	Bush									AR	Little Rock	Arkansas Democrat-Gazette
Washington Post	Obama	Kerry	Gore									DC	Washington	Washington Post
Boston Herald	McCain	Bush	Bush	Dole								MA	Boston	Boston Herald
Greenville News				Dole								SC	Greenville	Greenville News
Sante Fe New Mexican			Gore									NM	Sante Fe	Sante Fe New Mexican
Press Democrat			Gore									CA	Santa Rosa	Press Democrat
Wenatchee World	Obama											WA	Wenatchee	Wenatchee World
Fremont Tribune				Clinton								NE	Fremont	Fremont Tribune
Post-Standard												NY	Syracuse	Post-Standard
Jonesboro Sun				Clinton								AR	Jonesboro	Jonesboro Sun
Grand Rapids Press	McCain		Bush									MI	Grand Rapids	Grand Rapids Press
North County Times	McCain		Bush									CA	Escondido	North County Times
Warrensburg Daily Star-Journal				Dole								MO	Warrensburg-Journal	Warrensburg Daily Star-Journal
Savannah Morning News			Bush	Dole								GA	Savannah	Savannah Morning News
Jackson Sun	McCain	Kerry		Clinton								TN	Jackson	Jackson Sun
Owensboro Messenger-Inquirer			Bush									KY	Owensboro	Owensboro Messenger-Inquirer
Chanute Tribune				Dole								KS	Chanute	Chanute Tribune
Corpus Christi Caller-Times	McCain	Kerry	Bush	Dole								TX	Corpus Christi	Corpus Christi Caller-Times
Decatur Daily				Clinton								AL	Decatur	Decatur Daily
News Tribune	Obama	Kerry	Gore									WA	Tacoma	News Tribune
Olympian	Obama	Kerry										WA	Olympia	Olympian
Harrisburg Patriot-News	Obama											PA	Harrisburg	Harrisburg Patriot-News
Atlanta Journal-Constitution	Obama	Kerry	Gore									GA	Atlanta	Atlanta Journal-Constitution
Times-Reporter	Obama	Bush										OH	New Philadelphia	Times-Reporter
Star-Gazette			Bush									NY	Elmira	Star-Gazette
Journal and Courier			Bush									IN	Lafayette	Journal and Courier
Herald-Journal			Bush									SC	Spartanburg	Herald-Journal
Daily Breeze	Obama	Bush										CA	Torrance	Daily Breeze
El Paso Times			Bush									TX	El Paso	El Paso Times
News-Times			Gore									CT	Danbury	News-Times
Denver Post	Obama	Bush	Gore	Clinton								CO	Denver	Denver Post
Indianapolis Star		Bush	Bush									IN	Indianapolis	Indianapolis Star
Daily News (Los Angeles)	Obama	Kerry	Bush									CA	Los Angeles	Daily News (Los Angeles)
Detroit News	McCain	N/A	Bush	Dole								MI	Detroit	Detroit News
Florida Today	Obama		Gore	Clinton								FL	Melbourne	Florida Today
Springfield News-Leader			Gore									MO	Springfield	Springfield News-Leader
Baltimore Examiner	McCain	none										MD	Baltimore	Baltimore Examiner
St. Paul Pioneer-Press		Bush										MN	St. Paul	St. Paul Pioneer-Press
Jamestown Sun				Clinton								ND	Jamestown	Jamestown Sun
Sapulpa Daily Herald				Dole								OK	Sapulpa	Sapulpa Daily Herald
St. Louis Post-Dispatch	Obama	Kerry	Gore	Clinton								MO	St. Louis	St. Louis Post-Dispatch
Merced Sun Star	Obama	Kerry										CA	Merced	Merced Sun Star
Huntsville Times			Gore									AL	Huntsville	Huntsville Times
Newton Kansan				Dole								KS	Newton	Newton Kansan
Bend Bulletin	McCain	Bush										OR	Bend	Bend Bulletin
Staten Island Advance			Gore									NY	Staten Island	Staten Island Advance
New Haven Register	Obama	Bush	Bush	Dole								CT	New Haven	New Haven Register
Corvallis Gazette-Times	Obama		Gore									OR	Corvallis	Corvallis Gazette-Times
Louisville Courier-Journal	Obama	Kerry		Clinton								KY	Louisville	Louisville Courier-Journal
Middletown Journal	Obama											OH	Middletown	Middletown Journal
Tribune			Bush									FL	Fort Pierce	Tribune
Vindicator			Bush									OH	Youngstown	Vindicator
Pittsburgh Morning Sun				Dole								KS	Pittsburgh	Pittsburgh Morning Sun
Kingston Daily Freeman				Clinton								NY	Kingston	Kingston Daily Freeman
San Antonio Express-News	McCain	Bush	Bush	Dole								TX	San Antonio	San Antonio Express-News
Iola Register				Dole								KS	Iola	Iola Register
Herald and Review			Bush									IL	Decatur	Herald and Review
News and Record			Gore	Clinton								NC	Greensboro	News and Record
Asheville Citizen-Times	Obama	Kerry	Gore									NC	Asheville	Asheville Citizen-Times
Cincinnati Post			Bush	Dole								OH	Cincinnati	Cincinnati Post
Times			Gore									LA	Shreveport	Times
Hawk Eye	Obama	Kerry	Gore									IA	Burlington	Hawk Eye
Pleasanton Tri-Valley Herald				Clinton								CA	Pleasanton	Pleasanton Tri-Valley Herald
Herald			Gore									WA	Everett	Herald
News & Observer		Kerry										NC	Raleigh	News & Observer
Brunswick Times-Record	Obama	Kerry										ME	Brunswick	Brunswick Times-Record
Richmond County Daily Journal				Clinton								NC	Richmond	Richmond County Daily Journal
Walla Walla Union-Bulletin	Obama	Kerry	Bush									WA	Walla Walla	Walla Walla Union-Bulletin
Tyler Morning Telegraph	McCain											TX	Tyler	Tyler Morning Telegraph
Waycross Journal-Herald				Dole								GA	Waycross	Waycross Journal-Herald
Kearney Hub				Dole								NE	Kearney	Kearney Hub
Times-Picayune	Obama	none	Bush									LA	New Orleans	Times-Picayune
San Gabriel Valley Tribune	Obama	Bush	Bush									CA	San Gabriel	San Gabriel Valley Tribune
Courier-News				Clinton								NJ	Bridgewater	Courier-News
Concord Monitor	Obama	Kerry	Gore	Clinton								NH	Concord	Concord Monitor
Minneapolis Star Tribune	Obama			Clinton								MN	Minneapolis	Minneapolis Star Tribune
Kingsport Times-News				Dole								TN	Kingsport	Kingsport Times-News
Pueblo Chieftain	McCain	Bush										CO	Pueblo	Pueblo Chieftain
Burlington Free Press	Obama	Kerry										VT	Burlington	Burlington Free Press
Great Falls Tribune			Gore	Clinton								MT	Great Falls	Great Falls Tribune
Prescott Daily Courier				Dole								AZ	Prescott	Prescott Daily Courier
Tryon Daily Bulletin				Dole								NC	Tryon	Tryon Daily Bulletin
Chattanooga Free Press	McCain	Bush	Bush	Dole								TN	Chattanooga	Chattanooga Free Press
York Daily Record	Obama	Bush	Gore									PA	York	York Daily Record
Providence Journal	Obama	Bush	Bush									RI	Providence	Providence Journal
Tri-Valley Herald	Obama	Bush	Bush									CA	Pleasanton	Tri-Valley Herald
Brattleboro Reformer	Obama											VT	Brattleboro	Brattleboro Reformer
Storm Lake Times	Obama	Kerry										IA	Storm Lake	Storm Lake Times
Union Leader	McCain	Bush	Bush									NH	Manchester	Union Leader
Columbus Ledger-Enquirer	Obama	Bush	Gore									GA	Columbus	Columbus Ledger-Enquirer
Florida Times-Union												FL	Jacksonville	Florida Times-Union
Greeley Daily Tribune			Bush									CO	Greeley	Greeley Daily Tribune
Brookhaven Daily Leader				Dole								MS	Brookhaven	Brookhaven Daily Leader
New Braunfels Herald-Zeitung	McCain											TX	New Braunfels	New Braunfels Herald-Zeitung
La Opinion	Obama	Kerry										CA	Los Angeles	La Opinion
Skagit Valley Herald				Dole								WA	Skagit Valley	Skagit Valley Herald
Pensacola News-Journal	Obama											FL	Pensacola	Pensacola News-Journal
Tucson Citizen			Gore									AZ	Tucson	Tucson Citizen
Los Angeles Times	Obama	none										CA	Los Angeles	Los Angeles Times
Carlsbad Current-Argus			Bush									NM	Carlsbad	Carlsbad Current-Argus
New York Daily News				Clinton								NY	New York	New York Daily News
Portland Press Herald	Obama		Gore									ME	Portland	Portland Press Herald
Journal Gazette	Obama	Kerry	Gore	Clinton								IN	Fort Wayne	Journal Gazette
Honolulu Star-Bulletin	Obama	Kerry										HI	Honolulu	Honolulu Star-Bulletin
Times-Standard			Bush									CA	Eureka	Times-Standard
Daily Globe	McCain											MN	Worthington	Daily Globe
Daily Democrat	Obama											CA	Woodland	Daily Democrat
Daily Press	McCain	Kerry										VA	Newport News	Daily Press
Daily Oklahoman			Bush	Dole								OK	Oklahoma City	Daily Oklahoman
News and Observer	Obama	Kerry	Gore									NC	Raleigh	News and Observer
Orange County Register												CA	Anaheim	Orange County Register
Anchorage Daily News	Obama	Kerry	Gore									AK	Anchorage	Anchorage Daily News
Wichita Falls Times Herald Record			Bush									TX	Wichita Falls	Wichita Falls Times Herald Record
Santa Rosa Press-Democrat	Obama											CA	Santa Rosa	Santa Rosa Press-Democrat
Canandaigua Daily Messenger				Clinton								NY	Canandaigua	Canandaigua Daily Messenger
Lebanon Dally Record				Dole								MO	Lebanon	Lebanon Dally Record
Billings Gazette	Obama		Bush									MT	Billings	Billings Gazette
Johnson City Press				Clinton								TN	Johnson City	Johnson City Press
Rapid City Journal			Bush									SD	Rapid City	Rapid City Journal
Daily Camera			Bush									CO	Boulder	Daily Camera
Hamilton Journal-News	Obama	Bush										OH	Hamilton	Hamilton Journal-News
Augusta Chronicle			Bush	Dole								GA	Augusta	Augusta Chronicle
Antelope Valley Press				Dole								CA	Antelope Valley	Antelope Valley Press
Glens Falls Post-Star	Obama											NY	Glens Falls	Glens Falls Post-Star
Leaf-Chronicle	McCain	Bush										TN	Clarksville	Leaf-Chronicle
Public Opinion	McCain	none										PA	Chambersburg	Public Opinion
Detroit Free Press	Obama	Kerry	Gore	Clinton								MI	Detroit	Detroit Free Press
Advocate			Bush									CT	Stamford	Advocate
Telegram and Gazette			Bush									MA	Worcester	Telegram and Gazette
Eagle-Tribune	McCain		Bush	Dole								MA	Lawrence	Eagle-Tribune
Reno Gazette-Journal	Obama		Gore	Clinton								NV	Reno	Reno Gazette-Journal
Muskegon Chronicle	Obama	Kerry										MI	Muskegon	Muskegon Chronicle
Mail Tribune	Obama	Kerry										OR	Medford	Mail Tribune
Newsday			Gore									NY	Melville	Newsday
Atlanta Constitution				Clinton								GA	Atlanta	Atlanta Constitution
Waterbury Republican-American			Bush									CT	Waterbury	Waterbury Republican-American
Idaho Statesman	Obama	Kerry		Dole								ID	Boise	Idaho Statesman
Hereford Brand				Dole								TX	Hereford	Hereford Brand
Mount Airy News				Dole								NC	Mount Airy	Mount Airy News
Boulder Camera	Obama	Kerry										CO	Boulder	Boulder Camera
Muscatine Journal				Dole								IA	Muscatine	Muscatine Journal
Indianapolis Star and News				Dole								IN	Indianapolis	Indianapolis Star and News
Syracuse Herald-American			Bush									NY	Syracuse	Syracuse Herald-American
Dominion Post			Bush									WV	Morgantown	Dominion Post
Lexington Dispatch				Clinton								NC	Lexington	Lexington Dispatch
Amarillo Globe Times				Dole								TX	Amarillo	Amarillo Globe Times
Press of Atlantic City			Bush									NJ	Atlantic City	Press of Atlantic City
Salinas Californian				Clinton								CA	Salinas	Salinas Californian
Vallejo Times-Herald				Clinton								CA	Vallejo	Vallejo Times-Herald
Philadelphia Daily News	Obama	Kerry	Gore	Clinton								PA	Philadelphia	Philadelphia Daily News
St. Paul Pioneer Press			Bush	Clinton								MN	St. Paul	St. Paul Pioneer Press
Austin American-Statesman	Obama	Bush	Bush									TX	Austin	Austin American-Statesman
Pittsburgh Post-Gazette	Obama	Kerry	Gore									PA	Pittsburgh	Pittsburgh Post-Gazette
Richmond Times-Dispatch	McCain	Bush	Bush	Dole								VA	Richmond	Richmond Times-Dispatch
Home News Tribune			Gore									NJ	East Brunswick	Home News Tribune
Mesa Tribune				Clinton								AZ	Mesa	Mesa Tribune
Pierre Capital Journal				Dole								SD	Pierre	Pierre Capital Journal
New York Post	McCain	Bush	Bush	Dole								NY	New York	New York Post
(Lowell) Sun		Bush										MA	Lowell	(Lowell) Sun
Daily Comet			Bush									LA	Thibodaux	Daily Comet
Tribune-Review												PA	Greensburg	Tribune-Review
Macon Telegraph	Obama											GA	Macon	Macon Telegraph
Corpus Christi Caller Times				Dole								TX	Corpus Christi	Corpus Christi Caller Times
Beaumont Enterprise	McCain	Bush	Bush									TX	Beaumont	Beaumont Enterprise
Victoria Advocate				Dole								TX	Victoria	Victoria Advocate
Greenwich Time			Bush									CT	Greenwich	Greenwich Time
Register Citizen	McCain	Bush										CT	Torrington	Register Citizen
Erie Times-News	Obama	Bush	Bush									PA	Erie	Erie Times-News
Times of Trenton	Obama		Gore	Clinton								NJ	Trenton	Times of Trenton
Willmar West Central Tribune				Dole								MN	Willmar	Willmar West Central Tribune
Clarion-Ledger			Gore	Dole								MS	Jackson	Clarion-Ledger
News-Journal			Gore									FL	Daytona	News-Journal
Reporter	Obama	Bush										CA	Vacaville	Reporter
Keene Sentinel	Obama		Gore									NH	Keene	Keene Sentinel
Mountain Valley News	McCain											CO	Cedaredge	Mountain Valley News
Joplin Globe			Bush	Dole								MO	Joplin	Joplin Globe
Anniston Star			Gore	Clinton								AL	Anniston	Anniston Star
Cedar Rapids Gazette				Dole								IA	Cedar Rapids	Cedar Rapids Gazette
Oakland Tribune	Obama	Kerry		Clinton								CA	Oakland	Oakland Tribune
USA Today												""	""	USA Today
Lufkin Daily News	Obama	Kerry										TX	Lufkin	Lufkin Daily News
San Francisco Examiner	McCain	Bush	Gore	Clinton								CA	San Francisco	San Francisco Examiner
Daily News	Obama	Bush	Gore									NY	New York	Daily News
Recorder	Obama											MA	Greenfield	Recorder
Riverside Press-Enterprise	McCain	Bush										CA	Riverside	Riverside Press-Enterprise
Charleston Daily Mail			Bush	Dole								WV	Charleston Mail	Charleston Daily Mail
Stevens Point Journal	Obama											WI	Stevens Point	Stevens Point Journal
Aurora Sentinel	Obama	Kerry										CO	Aurora	Aurora Sentinel
Las Cruces Sun-News	Obama	Bush	Bush									NM	Las Cruces	Las Cruces Sun-News
Daily World			Bush									LA	Opelousas	Daily World
Argus Leader	McCain											SD	Sioux Falls	Argus Leader
South Florida Sun-Sentinel			Gore									FL	Fort Lauderdale	South Florida Sun-Sentinel
Montgomery Advertiser			Bush									AL	Montgomery	Montgomery Advertiser
Poughkeepsie Journal	Obama	Bush	Bush									NY	Poughkeepsie	Poughkeepsie Journal
Sikeston Standard Democrat				Dole								MO	Sikeston	Sikeston Standard Democrat
Omaha World-Herald		Bush	Bush									NE	Omaha	Omaha World-Herald
Sentinel	McCain	Bush										PA	Lewistown	Sentinel
Durham Herald-Sun	Obama	none										NC	Durham	Durham Herald-Sun
Record Searchlight			Bush									CA	Redding	Record Searchlight
Times-Leader	Obama											PA	Wilkes Barre	Times-Leader
McCook Daily Gazette	McCain											NE	McCook	McCook Daily Gazette
Boston Globe	Obama	Kerry	Gore	Clinton								MA	Boston	Boston Globe
Palestine Herald-Press				Clinton								TX	Palestine	Palestine Herald-Press
Lake County News-Sun	Obama	Bush										IL	Waukegan	Lake County News-Sun
Ledger Independent	Obama											KY	Maysville	Ledger Independent
Wisconsin State Journal	Obama	Bush	Bush									WI	Madison	Wisconsin State Journal
York Dispatch			Bush									PA	York	York Dispatch
Rocky Mountain News		Bush		Dole								CO	Denver	Rocky Mountain News
Alexandria Daily Town Talk			Bush									LA	Alexandria	Alexandria Daily Town Talk
Monroe Evening-News				Dole								MI	Monroe	Monroe Evening-News
Naples Daily-News	Obama	Bush	Bush	Dole								FL	Naples	Naples Daily-News
Tampa Tribune	McCain	N/A	Bush	Dole								FL	Tampa	Tampa Tribune
Times Union			Gore									NY	Albany	Times Union
Day	Obama		Bush									CT	New London	Day
News-Gazette	McCain		Bush									IL	Champaign	News-Gazette
San Mateo County Times	Obama	Kerry										CA	San Mateo	San Mateo County Times
Fairfield Daily Republic				Dole								CA	Fairfield	Fairfield Daily Republic
El Paso Herald-Post				Dole								TX	El Paso	El Paso Herald-Post
Journal News			Bush									NY	West Nyack	Journal News
Hernando Today				Dole								FL	Hernando	Hernando Today
Roswell Daily Record	McCain											NM	Roswell	Roswell Daily Record
Opelika-Auburn News				Dole								AL	Opelika-Auburn	Opelika-Auburn News
Nashua Telegraph	Obama	Kerry										NH	Nashua	Nashua Telegraph
Leesburg Daily Commercial				Clinton								FL	Leesburg	Leesburg Daily Commercial
Daily Astorian	Obama	Kerry		Clinton								OR	Astoria	Daily Astorian
Courier	McCain	Bush	Bush									OH	Findlay	Courier
Abilene Reporter-News			Bush	Dole								TX	Abilene	Abilene Reporter-News
Santa Cruz Sentinel	Obama	Kerry										CA	Santa Cruz	Santa Cruz Sentinel
Huntington Herald Press				Dole								IN	Huntington	Huntington Herald Press
Fresno Bee	Obama	Kerry	Gore									CA	Fresno	Fresno Bee
Chattanooga Times	Obama	Kerry	Gore									TN	Chattanooga	Chattanooga Times
Maine Sunday Telegram			Gore	Clinton								ME	Portland	Maine Sunday Telegram
Bakersfield Californian	McCain	Bush										CA	Bakersfield	Bakersfield Californian
Topeka Capital-Journal				Dole								KS	Topeka	Topeka Capital-Journal
Express-Times	Obama	Bush										PA	Easton	Express-Times
Monterey County Herald	Obama	Kerry										CA	Monterey	Monterey County Herald
Falls Church News-Press	Obama	Kerry										VA	Falls Church	Falls Church News-Press
Yamhill Valley News-Register	Obama	Bush										OR	McMinnville	Yamhill Valley News-Register
Muncie Star-Press	Obama											IN	Muncie	Muncie Star-Press
Big Spring Herald				Dole								TX	Big Spring	Big Spring Herald
Lancaster New Era	McCain											PA	Lancaster	Lancaster New Era
San Mateo Times				Clinton								CA	San Mateo	San Mateo Times
Miami Herald	Obama	Kerry	Gore									FL	Miami	Miami Herald
Arizona Republic	McCain	Bush	Bush									AZ	Phoenix	Arizona Republic
